,token,anno1,anno2,anno3,anno4
0,``,$(,$(,$(,$(
1,Ross,NE,NE,NE,NE
2,Perot,NE,NE,NE,NE
3,wäre,VVFIN,VAFIN,VAFIN,VVFIN
4,vielleicht,ADV,ADV,ADV,ADV
5,ein,ART,ART,ART,ART
6,prächtiger,ADJA,ADJA,ADJA,ADJA
7,Diktator,NN,NN,NN,NN
8,'',$(,$(,$(,$(
9,Konzernchefs,NN,NN,NN,NN
10,lehnen,VVFIN,VVFIN,VVFIN,VVFIN
11,den,ART,ART,ART,ART
12,Milliardär,NN,NN,NN,NN
13,als,KOKOM,APPR,APPR,APPR
14,US-Präsidenten,NN,NN,NN,NN
15,ab,PTKVZ,PTKVZ,,VVFIN
16,/,$(,$(,$(,$(
17,Texaner,NN,NN,NN,NN
18,gibt,VVFIN,VVFIN,VVFIN,VVFIN
19,nur,ADV,ADV,ADV,ADV
20,vage,ADJA,ADJA / D,ADJA,ADJA
21,Auskunft,NN,NN,,NN
22,über,APPR,APPR,APPR,APPR
23,seine,PPOSAT,PPOSAT,PROSAT,PPOSAT
24,Wirtschaftspolitik,NN,NN,NN,NN
25,Der,ART,ART,ART,ART
26,texanische,ADJA,ADJA,ADJA,ADJA
27,Milliardär,NN,NN,NN,NN
28,Ross,NE,NE,NE,NE
29,Perot,NE,NE,NE,NE
30,hat,VVAFIN,VVFIN,VAFIN,VAFIN
31,das,ART,ART,ART,ART
32,politische,ADJA,ADJA,ADJA,ADJDA
33,Establishment,FM,NN,FM,FM
34,in,APPR,APPR,APPR,APPR
35,Washington,NE,NE,,NE
36,aufgeschreckt,VMPP,VMPP,VMPP,VVPP
37,.,$.,$.,,$.
38,Nach,APPR,APPR,APPR,APPR
39,Meinungsumfragen,NN,NN,,NN
40,liegt,VVFIN,VVFIN,VVFIN,VVFIN
41,der,ART,ART,ART,ART
42,parteilose,ADJA,ADJA,ADJA,ADJA
43,Self-mademan,FM,NN,FM,FM
44,gut,ADV,ADJD,ADV,ADJD
45,im,APPRART,APPRART,APPRART,APPRART
46,Rennen,NN,NN,NN,NN
47,um,APPR,KOUI,APPR,APPR
48,den,ART,ART,ART,ART
49,Chefsessel,NN,NN,NN,NN
50,im,APPRART,APPRART,APPR,APPRART
51,Weißen,NE,NE,ADJA,ADJA
52,Haus,NE,NE,NN,NN
53,mit,APPR,APPR,APPR,APPR
54,dem,ART,ART,ART,ART
55,amtierenden,ADJA,ADJA,ADJA,ADJA
56,Präsidenten,NN,NN,NN,NN
57,George,NE,NE,NE,NE
58,Bush,NE,NE,NE,NE
59,und,KON,KON,KON,KON
60,dem,ART,ART,ART,ART
61,Demokraten,NN,NN,,NN
62,Bill,NE,NE,NE,NE
63,Clinton,NE,NE,NE,NE
64,.,$.,$.,$.,$.
65,Daß,KOUS,KOUS,KOUS,KOUS
66,Perot,NE,NE,NE,NE
67,ein,ART,ART,ART,ART
68,Unternehmen,NN,NN,NN,NN
69,erfolgreich,ADV,ADJD,ADJD,ADJD
70,leiten,VVINF,VVINF,VVINF,VVINF
71,kann,VVFIN,VMFIN,VAFIN,VMFIN
72,",","$,","$,","$,","$,"
73,davon,ADV,PAV,ADV,PAV
74,sind,VVFIN,VAFIN,VAFIN,VAFIN
75,selbst,ADV,ADV,PDAT,ADV
76,seine,PPOSAT,PPOSAT,PROSAT,PPOSAT
77,Kritiker,NN,NN,NN,NN
78,überzeugt,VVFIN,VVFIN,VVFIN,VVPP
79,.,$.,$.,$.,$.
80,Ob,KOUS,KOUS,KOUS,KOUS
81,diese,PPOSAT,PDAT,PPOSS,PDAT
82,Fähigkeiten,NN,NN,NN,NN
83,aber,KON,KON,ADV,KON
84,ausreichen,VVINF,VVFIN,,VVINF
85,",","$,","$,","$,","$,"
86,um,APPR,KOUI,KOUS,KOUI
87,die,ART,ART,ART,ART
88,größte,ADJA,ADJA,,ADJA
89,Volkswirtschaft,NN,NN,NN,NN
90,der,ART,ART,ART,ART
91,Welt,NN,NN,NN,NN
92,aus,ADV,APPR,APPR,APPR
93,ihrer,PPER,PPOSAT,PPOSS,PPOSAT
94,Krise,NN,NN,NN,NN
95,zu,PTKZU,PTKZU,,PTKZU
96,führen,VVINF,VVIZU/VVINF,,VVINF
97,",","$,","$,","$,","$,"
98,bezweifeln,VVINF,VVFIN,,VVFIN
99,viele,ART,ADJA,PIS,PIAT
100,Ökonomen,NN,NN,NN,NN
101,.,$.,$.,$.,$.
102,Und,KON,KON,KON,KON
103,auch,eigentlich Partikel?,ADV,ADV,PAV
104,die,ART,ART,ART,ART
105,Konzernchefs,NN,NN,NN,NN
106,in,APPR,APPR,APPR,APPR
107,den,ART,ART,ART,ART
108,USA,NE,NN,NE,NE
109,halten,VVINF,VVFIN,VVFIN,VVFIN
110,nicht,PTKNEG,PTKNEG,ADV,PTKNEG
111,viel,ADJD,ADV,ADV,ADV
112,von,APPR,APPR,APPR,APPR
113,dem,ART,ART,ART,ART
114,62jährigen,NN,NN,,NN
115,.,$.,$.,$.,$.
116,Zwar,ADV,KOUS,ADV,ADV
117,können,VVINF,VMFIN,VMINF,VMFIN
118,sich,PRF,PPER,PRF,PRF
119,die,ART,ART,ART,ART
120,meisten,ADJA,ADJA,ADV,PIAT
121,Topmanager,FM,NN,NN,NN
122,durchaus,ADV,ADV,ADV,ADV
123,einen,ART,ART,ART,ART
124,Unternehmer,NN,NN,NN,NN
125,als,KOKOM,APPR,APPR,APPR
126,Präsidenten,NN,NN,NN,NN
127,vorstellen,VVINF,VVINF,,VVINF
128,-,$(,$(,,$(
129,nur,ADV,ADV,ADV,PTKA
130,nicht,PTKNEG,ADV,ADV,PTKNEG
131,ausgerechnet,eigentlich Partikel?,ADV,ADV,ADV
132,Perot,NE,NE,NE,NE
133,.,§.,$.,$.,$.
134,Nach,APPR,ADV,,APPR
135,einer,ART,ART,ART,ART
136,Umfrage,NN,NN,NN,NN
137,des,ART,ART,ART,ART
138,Wirtschaftsmagazins,NN,NN,NN,NN
139,Fortune,NE,NE,NN,NE/FM
140,unter,APPR,ADV,,APPR
141,den,ART,ART,ART,ART
142,Bossen,FM,NN,NN,NN
143,von,APPR,APPR,APPR,APPR
144,500,CARD,CARD,CARD,CARD
145,Großunternehmen,NN,NN,NN,NN
146,wünschten,VVFIN,VVFIN,VVINF,VVFIN
147,im,APPR,APPRART,APPRART,APPRART
148,Mai,NN,NN,NN,NN
149,nur,ADV,ADV,ADV,PTKA
150,elf,CARD,CARD,CARD,CARD
151,Prozent,NN,NN,NN,NN
152,``,$(,&(,$(,$(
153,Ross,NE,NE,NE,NE
154,for,FM,FM/NE,FM,FM
155,President,FM,FM,FM,FM
156,'',§(,&(,$(,$(
157,",","$,","$,","$,","$,"
158,während,KOUS,KOUS,KOUS,APPR
159,78,CARD,CARD,CARD,CARD
160,Prozent,NN,NN,NN,NN
161,sich,PPER,PRF,PRF,PRF
162,für,APPRART,APPR,APPR,APPR
163,Bush,NE,NE,NE,NE
164,und,KON,KON,KON,KON
165,vier,CARD,CARD,CARD,CARD
166,Prozent,NN,NN,NN,NN
167,für,APPRART,APPR,APPR,APPR
168,Clinton,NE,NE,NE,NE
169,aussprachen,VVFIN,VVFIN,VVINF,VVFIN
170,.,$.,$.,,$.
171,Allerdings,ADV,KON,PAV,ADV
172,glaubt,VVFIN,VVFIN,VVINF,VVFIN
173,fast,ADV,ADV,ADV,ADV
174,die,ART,ART,ART,ART
175,Hälfte,NN,NN,NN,NN
176,der,ART,ART,ART,ART
177,Chief,FM,FM,FM,FM
178,Executives,FM,FM,FM,FM
179,",","$,","$,","$,","$,"
180,daß,KOUS,KOUS,KOUS,KOUS
181,Perot,NE,NE,NE,NE
182,durchaus,ADV,ADV,,ADV
183,Chancen,NN,NN,NN,NN
184,habe,VVFIN,VVFIN,VAFIN,VAFIN
185,",","$,","$,","$,","$,"
186,die,ART,ART,ART,ART
187,Wahl,NN,NN,NN,NN
188,im,APPRART,APPRART,APPRART,APPRART
189,November,NN,NE,NN,NN
190,zu,PTKZU,PTKZU,PTKZU,PTKZU
191,gewinnen,VVINF,VVINF,,VVINF
192,",","$,","$,","$,","$,"
193,wenn,KOUS,KOUS,KOUS,KOUS
194,er,PPER,PPER,PPER,PPER
195,denn,KON,ADV,ADV,ADV
196,kandidiert,VVFIN,VVFIN,VVFIN,VVFIN
197,.,$.,$.,$.,$.
